sample,cell_count,traditional_group,context_group,traditional_pc1,traditional_pc2,context_pc1,context_pc2
X001,6,6,2,7.702324092830546,-6.226030753890804,3.7521311719273007,5.373938703759575
X003,6,6,2,8.268262346149273,-2.9440735659832584,4.685139921764423,4.7613566321075576
X005,6,6,2,6.225725052396508,-7.127771671013925,5.296378165327698,4.953121049741064
X007,6,6,2,5.193696868596001,-6.512742410642602,5.348175569816749,4.750404037889927
X009,6,6,2,5.564815368622567,-3.8583431545812026,6.132248755598394,2.738627527796903
X011,6,6,2,4.603525992755643,-5.527164195887772,6.192999199994918,3.809633287237277
X013,6,6,2,3.2781823523829687,-5.920632970796133,6.460570867942018,3.2422469956756284
X015,6,6,2,3.7342930902981233,-5.224391422855795,6.288295905380365,2.5775447925112656
X017,6,6,2,2.570258223408695,-4.673229582005856,6.608085806845839,1.7599753777229865
X019,6,6,2,2.6346625321114825,-3.575269116032029,6.792332313005148,2.071240399613515
X021,6,6,2,2.083301796587415,-4.163735943938156,6.7944564992836005,3.065958276866785
X023,6,6,2,1.7120387938979573,-3.9539749279939334,6.859392484847951,2.47653483086979
X025,6,6,2,1.4993193637931879,-4.407895411238176,6.847090333291988,2.814741743291735
X027,6,6,2,1.2244266833761708,-4.535842020161652,6.599069290761143,2.8104259081371166
X029,6,2,2,0.6355147863805904,-4.548072724998477,6.654302369849219,2.606872718567024
X031,6,2,2,-0.032454664676197904,-4.604957988258479,6.948347805032298,2.389937934984119
X033,6,2,2,-0.34273605166503224,-4.745944701732792,6.089861550633884,1.088363279921738
X035,6,2,2,-0.5828853056840086,-4.228394430065445,6.215780529366931,1.5884631200059172
X037,6,2,2,-1.46396533599815,-3.9902206541062606,6.063609808763659,1.1037855639870255
X039,6,2,2,-0.6446625124162605,-3.582340039896212,6.108336588352856,-0.2254332422450003
X041,6,2,2,-1.297287425153183,-2.905612161100149,6.116830217272821,-0.2760993811611027
X043,6,2,2,-1.5487422492856455,-3.797521626157058,5.712915771783026,1.1152277049624042
X045,6,2,2,-1.0394306897236176,-4.391487718044097,5.923300499162993,0.25067096604377637
X047,6,2,2,-1.176994843576721,-4.0346745759083475,5.995827942320246,0.29919665580589644
X050,6,2,2,-1.8268286643115204,-4.467742132681716,5.945373075107859,-0.09383767021151652
X052,6,2,2,-2.2702399266988404,-5.216448059458809,5.569567079893915,-0.28242100175666457
X054,6,2,2,-1.914112291318615,-4.637079828775235,5.230895073234079,-0.5682833208176983
X056,5,2,2,-1.7019143159687142,-5.177723637461167,5.27422332438893,-0.49015714782559144
X058,6,2,2,-1.8689193113586606,-4.298024129509761,5.207225333288042,-1.4852568785630251
X060,6,2,2,-2.6485920842541004,-4.860163985791939,5.315216966715995,-0.8092530775473967
X062,6,2,2,-2.759266731930435,-5.023817834763272,4.795912328700002,-1.9736247762720445
X064,6,2,2,-1.6484750123789205,-4.709687668998406,4.600584403825922,-2.2579917934976144
X066,6,2,2,-2.3617823237297313,-3.797477189021744,4.324667139908701,-2.6089466108746735
X068,6,2,3,-3.4005775964244855,-3.6250764052216224,2.835505712634182,-4.248889397076522
X070,6,2,3,-3.7945534694628904,-3.9059456826817107,2.562169770365976,-4.45938159821697
X072,6,2,3,-4.2738385935587315,-3.0784640849334535,2.817399623252919,-4.652162777318282
X074,7,2,3,-2.499102379694158,-1.194541460246483,1.587202655913012,-5.397359365420285
X076,6,2,3,-4.354691804535763,-2.8954077592881093,0.4359239210293845,-5.566035423455644
X078,6,3,3,-6.2862605550897195,1.351038111537382,-0.2076857924459573,-6.269776758691934
X080,8,5,3,-2.3995515021108402,-0.05080437784623282,-0.3365968030887223,-4.054472394982132
X082,8,5,2,-1.0488661208379482,1.985436472688043,1.030183787303006,0.8510736363151477
X084,8,5,3,0.033588050767231876,1.0080544648725327,1.0782156697963015,-3.508704942488327
X086,8,5,3,-2.193765366919759,-1.6593125540572606,-0.17932420214220343,-6.5313218891930225
X088,8,8,3,3.4211907872055596,0.9732312252123168,0.2554450870064006,-2.105784879102256
X090,10,7,3,10.283385678622393,7.612059189343153,0.023338534506088665,-2.206647750402989
X092,8,5,3,-1.5980479022921408,-0.26552463344120375,-1.2636190953211592,-4.529237466097447
X094,9,4,3,2.74643651250834,2.8591302344463463,-0.7105581355783697,-3.8691326743385788
X096,9,4,3,1.4999279736080615,3.5098405554209795,-1.9913013427562474,-5.068610239253207
X098,11,4,3,4.334135729086843,2.127101741716497,-1.6475412023612008,-4.4772901573810735
X100,12,4,3,6.852658157063104,1.0011846512980864,-1.1925111088592946,-4.720535254851527
X102,12,4,3,9.226013759875315,1.078700047220287,-1.563694074924298,-4.250177998732703
X104,11,6,3,4.710562421124073,-1.5251262466635938,-1.4284133078174837,-5.929585197932336
X106,12,4,3,6.374587550080695,1.5850804458700833,-1.1799202520383232,-4.89740664081271
X108,12,4,3,5.612323489786015,0.8448550513982923,-1.4638895103005825,-5.867655006931663
X110,12,4,3,5.225178431448502,0.47103089036580037,-0.9878917094710872,-5.085937098462246
X112,11,4,3,1.052355369634962,0.0802510670163217,-1.2506033897095952,-5.7788340323874055
X114,12,4,3,4.599782743690122,1.8937245870981905,-2.2672528794040527,-6.08535239257705
X116,12,4,3,4.266005619305087,2.397685026502562,-2.383561650634428,-5.857633851849315
X118,12,4,3,4.3229509477209085,2.958456478440852,-2.3653330924513547,-5.665461767181187
X120,12,4,3,3.511942955224069,2.965308693059786,-2.9214228493244385,-6.492243209654763
X122,11,4,3,-0.707903316390741,0.621767244401716,-2.5769153863288743,-5.783515958413184
X124,12,4,3,2.3490353382691334,2.972577043545133,-2.757700559044525,-5.275763330542915
X126,12,4,3,1.4585667581543267,2.7693807615077115,-2.872075916350638,-4.676789565170829
X128,11,5,3,-2.40488463842572,0.9330541756047266,-2.8764528701279226,-4.70453031655776
X130,10,5,3,-1.599846642664424,0.925847052857596,-2.6764023393646736,-3.4566302781158122
X132,10,5,4,-0.7929742573834205,1.825179948227968,-2.8210586883584674,-2.218720662596893
X134,10,5,4,-0.411384182611116,1.6107355837548571,-3.657916945843671,-1.6481396791072902
X136,10,5,4,0.3939265612858212,2.6442735913684463,-3.3221408164261024,-1.6014270975793055
X138,10,5,4,-2.3947933195637816,0.3519684846260306,-3.8069957335058464,-1.17930108462136
X140,10,5,4,-3.1673282607406095,0.9108431991464431,-3.7922392791707935,-0.7355481386665756
X142,9,5,4,-2.367072059189997,0.7162091778921688,-3.6776788248305268,-1.4697275312517213
X144,10,5,4,-4.796123074240228,-0.1668823546713944,-3.9581204779098806,-0.44919674643576696
X146,10,5,4,-4.127156505688604,-0.460871940465896,-4.135226466783966,-0.06453349395337399
X148,10,5,4,-2.596228576609559,1.5430049584562464,-4.232255568152702,0.15510820552032867
X150,9,5,4,-4.4480398862401085,0.565986618593015,-3.6986095504763883,0.48053821110763095
X152,10,5,4,-2.057470254324238,1.9868424047402695,-3.686813071578785,0.8615923196845333
X154,10,8,4,0.5613113831645721,2.139843251841514,-3.8843047102925405,-0.21398767642070204
X156,11,8,4,-0.47606104226800394,1.3944134444544103,-3.620610056623999,-0.2856710217829371
X158,10,1,4,-0.4151146410792505,2.186184892384918,-3.2750394798551206,-0.39481470810126335
X160,9,3,4,-5.843660790602357,-1.3219854340595334,-3.238006846650409,0.5731796997835058
X162,9,3,4,-5.240154894866464,2.0844586336188256,-3.272267569269562,1.2169820203766648
X164,10,3,4,-4.842620467003298,1.8066354708686136,-4.0116184406382285,1.988910959024134
X166,12,1,4,0.527549922350505,4.666433053035194,-3.9901555160280213,1.563973360535074
X168,11,3,4,-4.987455400060112,3.018904307817326,-4.721940142561724,1.4179251514833158
X170,11,3,4,-4.875820809161035,2.3717690417814326,-4.446084938492874,1.6381126468433025
X172,10,3,4,-6.358516717729341,2.907074763736309,-3.844119819840364,1.9448843004421246
X174,10,3,4,-6.723183905700131,4.1493403748420254,-3.6551478255484415,2.5837916981391076
X176,11,1,4,-1.3837341829595817,8.226477349954724,-3.6521302646166154,3.5311166252284845
X178,9,3,4,-8.288365396166784,1.8637952230337314,-2.9144912207727436,3.5434630539832526
X180,11,3,4,-4.3226383825015455,4.993099469549513,-3.3827915799205326,2.4510640611393115
X182,10,3,4,-7.113426252470795,3.856384911793715,-3.0485963607332547,3.373332703013949
X184,10,3,4,-7.857296391546428,3.9196587301994152,-2.9837791921858607,3.3955421297877946
X186,11,3,4,-4.871550982830933,3.343640179357144,-3.3270239751364694,2.8848075975783654
X188,11,3,4,-3.3681366666487174,3.9369295609871124,-2.7404802496122143,2.3408280546589673
X190,12,3,4,-4.437526426213563,3.393570491312623,-2.3539360212884093,4.162703855837642
X192,11,8,1,1.4498483101090076,2.5449050310209986,-2.430002771095607,4.6135867777293385
X194,13,8,1,0.8355522422657988,2.195937032628902,-4.297797341269167,3.656231387032161
X196,14,8,1,2.7062905646352777,3.7461351122857094,-5.383074349198072,3.712178130645311
X198,14,8,1,0.35625976140185117,3.9759100574781976,-5.027449235883574,4.305130670269844
X200,14,8,1,-1.1997230248414146,4.429439089615427,-4.820524748782427,4.204993774414017
X202,14,8,1,-1.2593354937233106,3.595435421387356,-4.7406071723677305,4.935351420623628
X204,13,8,1,2.627708804887288,3.376798948442795,-4.9805713925556585,6.148481687431923
X206,13,8,1,1.4968068242861032,4.461339481689674,-5.705687523879462,7.762387006813304
X208,12,8,1,2.317997794979683,2.5938547906234874,-4.60152130312446,7.957587434450307
X210,14,8,1,3.4727380732654285,4.333023332275657,-4.715724061890471,7.393537735711274
X212,13,8,1,0.09513644837395484,5.553604320004068,-3.8832514497016084,6.407436511403388
X214,13,8,1,4.553898011665477,5.629769215762713,-3.883349788841803,7.192273230116503
X216,14,7,1,14.508071554067733,8.043827005313801,-4.652720613656209,5.908858790258917
